,zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
9721,58646,99999,1.0,1.0,1.0,1.0,MOTT,ND
9722,58711,99999,1.0,1.0,1.0,1.0,ANTLER,ND
9723,58712,33500,1.0,1.0,1.0,1.0,BALFOUR,ND
9724,58713,33500,1.0,0.0,1.0,1.0,BANTRY,ND
9725,58722,33500,1.0,1.0,1.0,1.0,BURLINGTON,ND
9726,58725,33500,1.0,1.0,1.0,1.0,CARPIO,ND
9727,58727,99999,1.0,1.0,1.0,1.0,COLUMBUS,ND
9728,58730,99999,1.0,1.0,1.0,1.0,CROSBY,ND
9729,58731,33500,1.0,1.0,0.0,1.0,DEERING,ND
9730,58733,33500,1.0,0.0,1.0,1.0,DES LACS,ND
9731,58737,99999,1.0,1.0,1.0,1.0,FLAXTON,ND
9732,58741,33500,1.0,1.0,1.0,1.0,GRANVILLE,ND
9733,58744,33500,1.0,1.0,1.0,1.0,KARLSRUHE,ND
9734,58752,99999,1.0,1.0,1.0,1.0,LIGNITE,ND
9735,58757,99999,1.0,1.0,1.0,1.0,MANDAREE,ND
9736,58760,99999,1.0,1.0,1.0,1.0,MAXBASS,ND
9737,58763,99999,1.0,1.0,1.0,1.0,NEW TOWN,ND
9738,58765,99999,1.0,1.0,1.0,1.0,NOONAN,ND
9739,58768,33500,1.0,1.0,1.0,1.0,NORWICH,ND
9740,58769,99999,1.0,1.0,1.0,1.0,PALERMO,ND
9741,58770,99999,1.0,1.0,1.0,1.0,PARSHALL,ND
9742,58772,99999,1.0,1.0,1.0,1.0,PORTAL,ND
9743,58773,99999,1.0,1.0,1.0,1.0,POWERS LAKE,ND
9744,58775,99999,1.0,1.0,1.0,1.0,ROSEGLEN,ND
9745,58776,99999,1.0,1.0,1.0,1.0,ROSS,ND
9746,58781,33500,1.0,1.0,1.0,1.0,SAWYER,ND
9747,58783,99999,1.0,1.0,1.0,1.0,SOURIS,ND
9748,58784,99999,1.0,1.0,1.0,1.0,STANLEY,ND
9749,58785,33500,1.0,1.0,1.0,1.0,SURREY,ND
9750,58787,33500,1.0,1.0,1.0,1.0,TOLLEY,ND
9751,58790,33500,1.0,1.0,1.0,1.0,VELVA,ND
9752,58792,33500,1.0,1.0,1.0,1.0,VOLTAIRE,ND
9753,58793,99999,1.0,1.0,1.0,1.0,WESTHOPE,ND
9754,58801,48780,1.0,1.0,1.0,1.0,WILLISTON,ND
